,property_type,place_name,price_aprox_usd,rooms,contrafrente,cochera,amenities,esp_exterior,mas_1banio,estrenar,surface,price_m2
110,apartment,Recoleta,690000.0,5.0,0,1,0,1,1,0,235.0,2936.1702127659573
111,house,Palermo,1000000.0,6.0,0,1,1,1,1,0,379.0,2638.5224274406332
112,house,Floresta,280000.0,3.0,0,1,0,1,1,0,200.0,1400.0
113,apartment,Belgrano,520000.0,3.0,0,1,1,1,1,0,150.0,3466.6666666666665
114,apartment,Recoleta,378000.0,4.0,0,1,0,0,1,0,140.0,2700.0
115,apartment,Villa Luro,130000.0,2.0,0,0,0,1,0,0,66.0,1969.6969696969697
116,apartment,Flores,72000.0,1.0,0,0,0,0,0,1,36.0,2000.0
117,apartment,Palermo,379900.0,5.0,0,1,1,1,1,0,141.0,2694.326241134752
118,apartment,Palermo,95000.0,2.0,0,0,1,0,0,0,37.0,2567.5675675675675
119,apartment,Belgrano,117000.0,1.0,0,0,0,1,0,0,37.0,3162.162162162162
120,apartment,Villa Urquiza,230000.0,3.0,0,1,0,1,0,0,85.0,2705.8823529411766
121,apartment,Villa Devoto,142000.0,2.0,0,1,1,1,1,0,62.0,2290.3225806451615
122,apartment,Barrio Norte,250000.0,3.0,0,1,0,1,1,1,85.5,2923.9766081871344
123,apartment,Boca,140000.0,3.0,0,0,0,1,1,0,83.0,1686.7469879518073
124,house,Villa Devoto,580000.0,4.0,0,0,1,1,1,0,258.0,2248.062015503876
125,apartment,Villa Devoto,135000.0,3.0,1,1,1,1,1,0,57.0,2368.4210526315787
126,apartment,Villa Devoto,135000.0,3.0,0,1,1,1,1,0,57.0,2368.4210526315787
127,apartment,Villa Devoto,135000.0,3.0,1,1,1,1,1,0,57.0,2368.4210526315787
128,apartment,Villa Devoto,161000.0,4.0,0,1,1,1,1,0,57.0,2824.561403508772
129,apartment,Caballito,130500.0,2.0,0,0,0,0,1,1,54.0,2416.6666666666665
130,apartment,Villa Devoto,161000.0,4.0,0,1,1,1,1,0,57.0,2824.561403508772
131,apartment,Villa Devoto,161000.0,4.0,1,1,1,1,1,0,57.0,2824.561403508772
132,store,San Telmo,164000.0,2.0,0,1,0,0,1,1,75.0,2186.6666666666665
133,store,San Telmo,210000.0,2.0,0,1,0,0,0,1,79.0,2658.227848101266
135,apartment,Caballito,65500.0,1.0,0,0,0,1,0,1,28.0,2339.285714285714
136,PH,Mataderos,165000.0,3.0,0,0,0,0,1,0,150.0,1100.0
137,house,Parque Avellaneda,235000.0,3.0,0,0,0,0,0,0,191.0,1230.3664921465968
138,apartment,Boca,53000.0,1.0,0,0,1,1,1,0,33.0,1606.060606060606
139,apartment,Coghlan,214000.0,4.0,0,1,1,1,1,0,104.0,2057.6923076923076
140,apartment,Palermo,310000.0,3.0,1,1,0,1,0,0,106.0,2924.5283018867926
141,apartment,Recoleta,167000.0,2.0,0,1,1,0,1,1,43.0,3883.720930232558
142,apartment,San Telmo,94000.0,3.0,0,0,1,1,1,0,55.0,1709.090909090909
143,store,Barrio Norte,600000.0,1.0,0,0,0,0,0,0,210.0,2857.1428571428573
144,apartment,Boca,94000.0,3.0,0,0,1,1,1,0,55.0,1709.090909090909
145,apartment,Barracas,94000.0,3.0,0,0,1,1,1,0,55.0,1709.090909090909
146,apartment,Recoleta,105000.0,1.0,0,1,1,0,0,1,28.0,3750.0
147,apartment,Recoleta,130000.0,1.0,0,1,1,0,0,1,37.0,3513.5135135135133
148,apartment,Recoleta,235000.0,2.0,0,1,1,0,0,1,61.0,3852.4590163934427
149,apartment,Palermo,155000.0,1.0,0,0,1,1,1,1,43.0,3604.6511627906975
150,apartment,Palermo,245000.0,1.0,0,0,1,1,1,1,75.0,3266.6666666666665
151,apartment,Caballito,90000.0,1.0,0,0,0,0,0,1,41.0,2195.121951219512
152,apartment,Caballito,101472.5,2.0,0,0,0,0,0,1,42.0,2416.0119047619046
153,apartment,Almagro,78490.0,1.0,1,1,1,1,1,1,38.0,2065.5263157894738
154,apartment,Recoleta,480000.0,4.0,0,1,1,0,1,0,147.0,3265.3061224489797
155,apartment,Colegiales,98000.0,2.0,0,0,0,0,1,0,31.0,3161.2903225806454
156,PH,Belgrano,152000.0,2.0,0,1,0,0,1,0,52.0,2923.076923076923
157,PH,Belgrano,152000.0,3.0,0,1,0,0,1,0,52.0,2923.076923076923
158,PH,Belgrano,152000.0,3.0,0,1,0,0,1,0,52.0,2923.076923076923
159,PH,Coghlan,152000.0,2.0,0,1,0,0,1,0,52.0,2923.076923076923
160,PH,Coghlan,152000.0,3.0,0,1,0,0,1,0,52.0,2923.076923076923
161,apartment,San Cristobal,115000.0,4.0,0,0,0,1,1,0,70.0,1642.857142857143
162,apartment,Barrio Norte,100000.0,2.0,0,0,0,0,1,0,29.0,3448.2758620689656
163,apartment,Colegiales,185000.0,2.0,0,0,1,1,1,1,53.0,3490.566037735849
164,apartment,Flores,100000.0,2.0,0,0,1,1,0,0,50.0,2000.0
165,apartment,Flores,105000.0,2.0,0,0,1,1,0,0,50.0,2100.0
166,apartment,Barrio Norte,290000.0,3.0,0,0,0,1,1,0,104.0,2788.4615384615386
167,apartment,Flores,85000.0,3.0,0,0,0,1,0,0,51.0,1666.6666666666667
168,apartment,Balvanera,140000.0,3.0,0,0,0,1,1,0,76.0,1842.1052631578948
